# ----------------------------------------
# All Web Site Data
# Top Events
# 20180822-20180825
# ----------------------------------------

Event Label,Device Category,Total Events,Unique Events,Event Value,Avg. Value
AMD Radeon Pro 460 OpenGL Engine,desktop,7,4,0,0.00
AMD Radeon Pro 575 OpenGL Engine,desktop,28,4,0,0.00
AMD Radeon R9 M290X OpenGL Engine,desktop,10,4,0,0.00
ANGLE (AMD Radeon(TM) R7 Graphics Direct3D11 vs_5_0 ps_5_0),desktop,9,4,0,0.00
ANGLE (Intel(R) HD Graphics 530 Direct3D9Ex vs_3_0 ps_3_0),desktop,13,4,0,0.00
ANGLE (Microsoft Basic Render Driver Direct3D11 vs_5_0 ps_5_0),desktop,5,4,0,0.00
ANGLE (NVIDIA GeForce 9600 GT Direct3D11 vs_4_0 ps_4_0),desktop,11,4,0,0.00
ANGLE (NVIDIA GeForce GT 610 Direct3D11 vs_5_0 ps_5_0),desktop,5,4,0,0.00
ANGLE (NVIDIA GeForce GTX 560 Ti Direct3D11 vs_5_0 ps_5_0),desktop,12,4,0,0.00
ANGLE (NVIDIA GeForce GTX 650 Direct3D11 vs_5_0 ps_5_0),desktop,6,4,0,0.00
ANGLE (NVIDIA GeForce GTX 650 Ti Direct3D11 vs_5_0 ps_5_0),desktop,12,4,0,0.00
ANGLE (NVIDIA GeForce GTX 980 Ti Direct3D11 vs_5_0 ps_5_0),desktop,8,4,0,0.00
ATI Radeon HD 4670 OpenGL Engine,desktop,13,4,0,0.00
Intel(R) HD Graphics 530,desktop,5,4,0,0.00
NVIDIA GeForce GTX 675MX OpenGL Engine,desktop,10,4,0,0.00
AMD Radeon HD - FirePro D500 OpenGL Engine,desktop,6,3,0,0.00
AMD Radeon R9 M290 OpenGL Engine,desktop,8,3,0,0.00
AMD Radeon R9 M395 OpenGL Engine,desktop,4,3,0,0.00
ANGLE (AMD Radeon (TM) R7 370 Series Direct3D11 vs_5_0 ps_5_0),desktop,8,3,0,0.00
ANGLE (AMD Radeon (TM) R9 390 Series Direct3D11 vs_5_0 ps_5_0),desktop,6,3,0,0.00
ANGLE (AMD Radeon HD 5450 Direct3D11 vs_5_0 ps_5_0),desktop,6,3,0,0.00
ANGLE (AMD Radeon HD 6450 Direct3D11 vs_5_0 ps_5_0),desktop,6,3,0,0.00
ANGLE (AMD Radeon HD 7900 Series Direct3D11 vs_5_0 ps_5_0),desktop,3,3,0,0.00
ANGLE (AMD Radeon(TM) RX Vega 11 Graphics Direct3D9Ex vs_3_0 ps_3_0),desktop,4,3,0,0.00
ANGLE (Intel(R) G41 Express Chipset (Microsoft Corporation - WDDM 1.1) Direct3D9Ex vs_3_0 ps_3_0),desktop,14,3,0,0.00
ANGLE (Intel(R) G41 Express Chipset Direct3D9Ex vs_3_0 ps_3_0),desktop,5,3,0,0.00
ANGLE (Intel(R) HD Graphics 4400 Direct3D9Ex vs_3_0 ps_3_0),desktop,17,3,0,0.00
ANGLE (Intel(R) Iris(TM) Graphics 540 Direct3D11 vs_5_0 ps_5_0),desktop,7,3,0,0.00
ANGLE (Intel(R) UHD Graphics 630 Direct3D11 vs_5_0 ps_5_0),desktop,7,3,0,0.00
ANGLE (NVIDIA GeForce 210 Direct3D11 vs_4_1 ps_4_1),desktop,8,3,0,0.00
ANGLE (NVIDIA GeForce GT 640 Direct3D11 vs_5_0 ps_5_0),desktop,3,3,0,0.00
ATI Radeon HD 2600 PRO OpenGL Engine,desktop,7,3,0,0.00
Intel(R) HD Graphics 4400,desktop,8,3,0,0.00
Intel(R) Iris(TM) Plus Graphics 655,desktop,11,3,0,0.00
Mali-T624,mobile,3,3,0,0.00
